# Instantané Mémoire : nombre d'illustrations POP par notice Mérimée.
# Généré par `python -m merimee_etl.memoire`, jamais à la main.
# Un nombre, pas une image : ces photographies sont sous droits réservés.
reference,images
PA00078782,41
PA00078783,5
PA00078784,3
PA00078785,1056
PA00078786,3
PA00078787,2
PA00078788,51
PA00078789,17
PA00078790,11
PA00078791,51
PA00078792,26
PA00078793,13
PA00078794,1
PA00078795,103
PA00078798,1
PA00078801,5
PA00078805,3
PA00078812,8
PA00078813,5
PA00078816,27
PA00078817,6
PA00078819,58
PA00078821,5
PA00078822,12
PA00078823,3
PA00078824,3
PA00078825,34
PA00078826,4
PA00078829,11
PA00078830,8
PA00078831,9
PA00078832,17
PA00078833,5
PA00078834,21
PA00078836,19
PA00078837,26
PA00078838,10
PA00078840,12
PA00078841,1
PA00078842,2
PA00078845,5
PA00078846,7
PA00078847,6
PA00078848,28
PA00078849,17
PA00078850,10
PA00078851,11
PA00078852,8
PA00078853,2
PA00078854,17
PA00078855,15
PA00078856,172
PA00078857,1
PA00078858,2
PA00078859,4
PA00078861,23
PA00078862,15
PA00078863,8
PA00078864,15
PA00078865,7
PA00078866,21
PA00078867,23
PA00078868,12
PA00078870,10
PA00078871,7
PA00078872,9
PA00078873,6
PA00078875,13
PA00078876,13
PA00078878,11
PA00078879,5
PA00078881,10
PA00078882,2
PA00078884,1
PA00078885,9
PA00078886,33
PA00078887,3
PA00078888,3
PA00078889,21
PA00078891,2
PA00078892,4
PA00078893,13
PA00078894,8
PA00078895,24
PA00078896,19
PA00078898,3
PA00078899,3
PA00078900,9
PA00078902,9
PA00078903,9
PA00078905,12
PA00078907,1
PA00078910,1
PA00078911,44
PA00078912,4
PA00078914,1
PA00078915,12
PA00078916,2
PA00078917,6
PA00078918,1
PA00078921,3
PA00078922,1
PA00078924,6
PA00078926,1
PA00078928,4
PA00078931,1
PA00078932,7
PA00078933,2
PA00078934,4
PA00078935,1
PA00078939,36
PA00078940,48
PA00078941,5
PA00078942,6
PA00078943,4
PA00078944,1
PA00078945,4
PA00078946,10
PA00078948,12
PA00078951,26
PA00078955,20
PA00078956,5
PA00078960,1
PA00078962,1
PA00078963,2
PA00078965,2
PA00078966,6
PA00078967,3
PA00078968,8
PA00078969,5
PA00078970,2
PA00078973,1
PA00078974,1
PA00078975,32
PA00078976,12
PA00078977,18
PA00078978,4
PA00078980,333
PA00078981,1
PA00078982,11
PA00078983,2
PA00078984,1
PA00078985,10
PA00078986,1
PA00078987,13
PA00078988,12
PA00078989,1
PA00078990,3
PA00078991,2
PA00078992,1
PA00078993,2
PA00078994,2
PA00078996,1
PA00078997,1
PA00078998,11
PA00078999,17
PA00079001,31
PA00079002,30
PA00079003,49
PA00079004,1
PA00079005,2
PA00079007,2
PA00079008,1
PA00079009,9
PA00079010,65
PA00079011,5
PA00079012,5
PA00079013,166
PA00079014,2
PA00079015,3
PA00079016,2
PA00079017,2
PA00079018,5
PA00079019,4
PA00079020,3
PA00079021,3
PA00079022,1
PA00079023,15
PA00079024,2
PA00079025,2
PA00079026,12
PA00079027,5
PA00079028,4
PA00079029,2
PA00079030,46
PA00079031,18
PA00079032,3
PA00079033,10
PA00079034,2
PA00079035,17
PA00079036,14
PA00079037,2
PA00079038,6
PA00079039,6
PA00079040,4
PA00079043,7
PA00079044,1
PA00079045,1
PA00079046,3
PA00079047,8
PA00079048,2
PA00079049,1
PA00079051,1
PA00079052,3
PA00079054,39
PA00079055,22
PA00079056,28
PA00079058,21
PA00079060,1
PA00079063,9
PA00079065,11
PA00079069,2
PA00079070,1
PA00079072,54
PA00079073,24
PA00079074,1
PA00079076,37
PA00079077,22
PA00079078,28
PA00079079,74
PA00079081,1
PA00079083,1
PA00079087,22
PA00079088,369
PA00079089,1
PA00079090,14
PA00079091,16
PA00079092,13
PA00079093,9
PA00079094,2
PA00079095,46
PA00079096,48
PA00079098,2
PA00079099,3
PA00079100,44
PA00079101,5
PA00079102,70
PA00079103,12
PA00079104,11
PA00079105,4
PA00079106,6
PA00079107,4
PA00079108,3
PA00079109,5
PA00079110,34
PA00079111,4
PA00079112,3
PA00079113,2
PA00079114,7
PA00079115,6
PA00079116,5
PA00079117,2
PA00079119,5
PA00079120,19
PA00079121,5
PA00079122,5
PA00079123,2
PA00079124,2
PA00079125,19
PA00079126,72
PA00079127,6
PA00079128,3
PA00079129,49
PA00079130,2
PA00079132,8
PA00079134,2
PA00079135,1
PA00079136,1
PA00079137,2
PA00079138,27
PA00079140,42
PA00079141,14
PA00079142,1
PA00079145,16
PA00079147,1
PA00079151,5
PA00079152,4
PA00079153,306
PA00079154,4
PA00079155,12
PA00079156,1
PA00079157,1
PA00079163,2
PA00079165,44
PA00079166,52
PA00079167,2
PA00079168,1
PA00079169,2
PA00079171,7
PA00079172,19
PA00079177,5
PA00079181,1
PA00079182,1
PA00079183,4
PA00079184,6
PA00079187,1
PA00079189,19
PA00079190,12
PA00079192,4
PA00079193,5
PA00079194,2
PA00079195,62
PA00079199,2
PA00079200,1
PA00079201,1
PA00079203,7
PA00079204,10
PA00079206,2
PA00079207,3
PA00079208,1
PA00079209,2
PA00079210,1
PA00079211,18
PA00079212,1
PA00079215,4
PA00079216,18
PA00079219,2
PA00079220,1
PA00079221,2
PA00079222,3
PA00079223,1
PA00079225,5
PA00079227,3
PA00079228,6
PA00079232,70
PA00079235,3
PA00079238,1
PA00079243,23
PA00079244,6
PA00079245,2
PA00079247,8
PA00079254,11
PA00079256,3
PA00079257,31
PA00079258,6
PA00079259,33
PA00079261,7
PA00079262,4
PA00079263,8
PA00079264,3
PA00079265,4
PA00079266,6
PA00079267,1
PA00079268,98
PA00079270,4
PA00079271,4
PA00079272,1
PA00079273,1
PA00079274,1
PA00079275,1
PA00079276,1
PA00079277,2
PA00079278,10
PA00079279,10
PA00079280,4
PA00079281,5
PA00079282,4
PA00079283,11
PA00079286,11
PA00079287,2
PA00079288,3
PA00079290,67
PA00079293,8
PA00079294,4
PA00079296,1
PA00079297,9
PA00079302,1
PA00079303,8
PA00079305,2
PA00079306,3
PA00079307,3
PA00079308,5
PA00079845,16
PA00079846,49
