# Instantané Wikimedia Commons : fichiers dont la page cite la référence Mérimée.
# Généré par `python -m merimee_etl.commons`, jamais à la main.
# Complète `wikidata_images.csv` ; ce n'est pas une décision éditoriale.
reference,fichier
PA00105606,Poitiers (86) Hôtel Berthelot - Extérieur - 01.jpg
PA00105606,Poitiers (86) Hôtel Berthelot - Extérieur - 04.jpg
PA00105606,Poitiers (86) Hôtel Berthelot - Extérieur - 05.jpg
PA00105616,Hôtel des Trois-Piliers à Poitiers.jpg
PA00105625,Hôtel de la Bidolière (ancien) ; Maison romane - Façade sur rue - Poitiers - Médiathèque de l'architecture et du patrimoine - APMH00022087.jpg
PA00105639,15 rue Cloche-Perse à Poitiers.jpg
PA00105655,Poitiers - Prévôté.jpg
PA00105655,"Prévôté (ancienne) - Façade sur la rue, ensemble - Poitiers - Médiathèque de l'architecture et du patrimoine - APMH00024632.jpg"
PA00105655,Prévôté (ancienne) - Lucarne - Poitiers - Médiathèque de l'architecture et du patrimoine - APMH00011657.jpg
PA00105719,Maison du 15ème siècle - Façade sur rue - Sanxay - Médiathèque de l'architecture et du patrimoine - APMH00006891.jpg
PA00105720,Maison - Façade sur rue - Sanxay - Médiathèque de l'architecture et du patrimoine - APMH00006892.jpg
PA00105875,Polissoir de la rivière du Petit Carbet 01.jpg
PA00105875,Polissoir de la rivière du Petit Carbet 02.jpg
PA00105875,Roches Gravées du Site Archéologique de Trois-Rivières 03.jpg
PA00106042,Observatoire Hablainville.jpg
PA00106065,"Rue de l'Église, Liverdun 01.jpg"
PA00106351,F54 Université-Pont-à-Mousson façade.jpg
PA00106365,St Supplet ossuaire.JPG
PA00106366,Ancien prieure Sancy.JPG
PA00106392,Maison 30 rue Gouvion st Cyr 35650.jpg
PA00106406,23 rue du General-Foy in Toul.jpg
PA00106406,"Maison, 23 rue du Général-Foy, Toul - 8082.jpg"
PA00106437,Ferme de Léomont près de Vitrimont détruite par les Allemands(Presse-Agence Rol).jpg
PA00106437,Ruine de la ferme de Léomont près de Lunéville(Presse-Agence Rol).jpg
PA00106495,Bazincourt-sur-Saulx (Meuse) château.jpg
PA00106496,Rétable de l'Assomption.JPG
PA00106546,Lavoir Lacroix Meuse.JPG
PA00106563,Louppy-sur-Loison L’église de la Madeleine.JPG
PA00106592,Château de Charmois - ferme fortifiée - Mouzay.jpg
PA00106592,Mouzay-meuse-charmois-le-chateau-cpa.jpg
PA00106639,Musée européen de la bière Conseil Général de la Meuse (extérieur).jpg
PA00106639,Musée européen de la bière Conseil Général de la Meuse (intérieur).jpg
PA00106690,Contrisson (Meuse) maison à pans de bois.jpg
PA00106713,Mognéville (Meuse) maison à pans de bois A.jpg
PA00106718,DSCN0560b.jpg
PA00106729,Chapelle Preisch.jpg
PA00106729,Ossuaire de Barst.jpg
PA00106743,Chapelle cimetiere Cattenom.JPG
PA00106753,Dolving-pont sur le Landbach-01.jpg
PA00106753,Dolving-pont sur le Landbach-02.jpg
PA00106774,Ossuaire de Grosbliederstroff.jpg
PA00106780,Chapelle De Wendel Hayange.jpg
PA00106780,Chapelle des De Wendel Hayange.jpg
PA00106790,Insming ossuaire.JPG
PA00106827,Metz - ancienne école royale d'artillerie.jpg
PA00106827,Metz - école d'artillerie.JPG
PA00106940,Phalsbourg (Moselle) Place d'Armes 06 MH.jpg
PA00106949,Phalsbourg (Moselle) Place d'Armes 16 MH.jpg
PA00106950,Phalsbourg (Moselle) Place d'Armes 17 MH.jpg
PA00106951,Phalsbourg (Moselle) Place d'Armes 18 MH.jpg
PA00106952,Phalsbourg (Moselle) Place d'Armes 19 MH.jpg
PA00106953,Phalsbourg (Moselle) Place d'Armes 21 MH.jpg
PA00106954,Phalsbourg (Moselle) Place d'Armes 22 MH.jpg
PA00106955,Phalsbourg (Moselle) Place d'Armes 23-24 MH.jpg
